"season","game_id","game_date","goalie_id","goalie_name","save","angle","distance","home","game_score_state","rebound","strength","shot_type","round","recent_save_30","recent_save_60","recent_save_90","recent_save_120","recent_save_150","long_run_save_840","xprime_30","xprime_60","xprime_90","xprime_120","xprime_150"
"20222023","2022030235",2023-05-11,"8479979","Jake.Oettinger",1,38.2,53.4,1,"Tied",0,"0","Wrist Shot",0,0.733333333333333,0.833333333333333,0.877777777777778,0.866666666666667,0.893333333333333,0.907142857142857,-0.173809523809524,-0.0738095238095238,-0.0293650793650794,-0.0404761904761904,-0.0138095238095238
"20222023","2022030235",2023-05-11,"8479979","Jake.Oettinger",1,24.6,52.8,1,"Leading",0,"0","Snap Shot",0,0.766666666666667,0.833333333333333,0.877777777777778,0.866666666666667,0.893333333333333,0.907142857142857,-0.14047619047619,-0.0738095238095238,-0.0293650793650794,-0.0404761904761904,-0.0138095238095238
"20222023","2022030235",2023-05-11,"8479979","Jake.Oettinger",1,34.2,30.2,1,"Leading",0,"0","Slap Shot",0,0.8,0.833333333333333,0.877777777777778,0.866666666666667,0.893333333333333,0.907142857142857,-0.107142857142857,-0.0738095238095238,-0.0293650793650794,-0.0404761904761904,-0.0138095238095238
"20222023","2022030235",2023-05-11,"8479979","Jake.Oettinger",1,42,40.4,1,"Leading",0,"0","Slap Shot",0,0.833333333333333,0.833333333333333,0.877777777777778,0.866666666666667,0.893333333333333,0.907142857142857,-0.0738095238095238,-0.0738095238095238,-0.0293650793650794,-0.0404761904761904,-0.0138095238095238
"20222023","2022030235",2023-05-11,"8479979","Jake.Oettinger",1,39.1,55.4,1,"Leading",0,"0","Wrist Shot",0,0.866666666666667,0.85,0.877777777777778,0.875,0.893333333333333,0.907142857142857,-0.0404761904761904,-0.0571428571428572,-0.0293650793650794,-0.0321428571428571,-0.0138095238095238
"20222023","2022030235",2023-05-11,"8479979","Jake.Oettinger",1,33.7,50.5,1,"Leading",0,"0","Slap Shot",0,0.866666666666667,0.85,0.877777777777778,0.875,0.893333333333333,0.907142857142857,-0.0404761904761904,-0.0571428571428572,-0.0293650793650794,-0.0321428571428571,-0.0138095238095238
"20222023","2022030235",2023-05-11,"8479979","Jake.Oettinger",1,94.8,24.1,1,"Leading",0,"0","Wrist Shot",0,0.866666666666667,0.85,0.877777777777778,0.875,0.893333333333333,0.907142857142857,-0.0404761904761904,-0.0571428571428572,-0.0293650793650794,-0.0321428571428571,-0.0138095238095238
"20222023","2022030235",2023-05-11,"8479979","Jake.Oettinger",1,57.2,36.9,1,"Leading",0,"0","Wrist Shot",0,0.866666666666667,0.85,0.877777777777778,0.875,0.893333333333333,0.907142857142857,-0.0404761904761904,-0.0571428571428572,-0.0293650793650794,-0.0321428571428571,-0.0138095238095238
"20222023","2022030235",2023-05-11,"8479979","Jake.Oettinger",1,24,81,1,"Leading",0,"0","Wrist Shot",0,0.9,0.85,0.877777777777778,0.875,0.893333333333333,0.907142857142857,-0.00714285714285712,-0.0571428571428572,-0.0293650793650794,-0.0321428571428571,-0.0138095238095238
"20222023","2022030235",2023-05-11,"8479979","Jake.Oettinger",1,85.8,27.1,1,"Leading",0,"0","Wrist Shot",0,0.9,0.85,0.877777777777778,0.875,0.893333333333333,0.907142857142857,-0.00714285714285712,-0.0571428571428572,-0.0293650793650794,-0.0321428571428571,-0.0138095238095238
"20222023","2022030235",2023-05-11,"8479979","Jake.Oettinger",1,31,58.3,1,"Leading",0,"0","Slap Shot",0,0.9,0.85,0.877777777777778,0.875,0.893333333333333,0.907142857142857,-0.00714285714285712,-0.0571428571428572,-0.0293650793650794,-0.0321428571428571,-0.0138095238095238
"20222023","2022030235",2023-05-11,"8479979","Jake.Oettinger",0,27.9,19.2,1,"Leading",0,"0","Wrist Shot",0,0.9,0.85,0.877777777777778,0.875,0.893333333333333,0.907142857142857,-0.00714285714285712,-0.0571428571428572,-0.0293650793650794,-0.0321428571428571,-0.0138095238095238
